id,user_id,type,icon,title,message,reference_type,reference_id,reference_code,is_read,created_at
7,10,approval,fas fa-file-signature,PR-FAD-2026-021 Pending Approval," To support office operations by providing proper storage for supplies and refreshments (refrigerators), improving audio setup for meetings and activities (dual wireless microphone). requires your approval",purchase_request,36,PR-FAD-2026-021,true,Fri Mar 06 2026 15:01:57 GMT+0800 (Philippine Standard Time)
10,10,approval,fas fa-file-signature,PR-FAD-2026-021 Pending Approval,"To support office operations by providing proper storage for supplies and refreshments (refrigerators), improving audio setup for meetings and activities (dual wireless microphone). requires your approval",purchase_request,37,PR-FAD-2026-021,true,Fri Mar 06 2026 15:10:05 GMT+0800 (Philippine Standard Time)
13,10,approval,fas fa-file-signature,PR-FAD-2026-022 Pending Approval,"To support office operations by providing proper storage for supplies and refreshments (refrigerators), improving audio setup for meetings and activities (dual wireless microphone). requires your approval",purchase_request,38,PR-FAD-2026-022,true,Fri Mar 06 2026 15:21:28 GMT+0800 (Philippine Standard Time)
18,10,approval,fas fa-file-signature,PR-FAD-2026-022 Pending Approval,"To support office operations by providing proper storage for supplies and refreshments (refrigerators), improving audio setup for meetings and activities (dual wireless microphone). requires your approval",purchase_request,38,PR-FAD-2026-022,true,Tue Mar 10 2026 08:40:02 GMT+0800 (Philippine Standard Time)
21,10,approval,fas fa-file-signature,PR-FAD-2026-022 Pending Approval,"To support office operations by providing proper storage for supplies and refreshments (refrigerators), improving audio setup for meetings and activities (dual wireless microphone). requires your approval",purchase_request,38,PR-FAD-2026-022,true,Tue Mar 10 2026 08:40:22 GMT+0800 (Philippine Standard Time)
24,10,approval,fas fa-file-signature,PR-FAD-2026-022 Pending Approval,"To support office operations by providing proper storage for supplies and refreshments (refrigerators), improving audio setup for meetings and activities (dual wireless microphone). requires your approval",purchase_request,38,PR-FAD-2026-022,true,Tue Mar 10 2026 08:40:36 GMT+0800 (Philippine Standard Time)
27,10,approval,fas fa-file-signature,PR-FAD-2026-022 Pending Approval,"To support office operations by providing proper storage for supplies and refreshments (refrigerators), improving audio setup for meetings and activities (dual wireless microphone). requires your approval",purchase_request,38,PR-FAD-2026-022,true,Tue Mar 10 2026 08:52:09 GMT+0800 (Philippine Standard Time)
30,10,approval,fas fa-file-signature,PR-FAD-2026-022 Pending Approval,"To support office operations by providing proper storage for supplies and refreshments (refrigerators), improving audio setup for meetings and activities (dual wireless microphone). requires your approval",purchase_request,38,PR-FAD-2026-022,true,Tue Mar 10 2026 08:58:32 GMT+0800 (Philippine Standard Time)
31,10,approval,fas fa-file-signature,PR-WRSD-2026-001 Pending Approval,Testing requires your approval,purchase_request,41,PR-WRSD-2026-001,false,Tue Mar 31 2026 11:32:34 GMT+0800 (Philippine Standard Time)
32,3,approval,fas fa-file-signature,PR-WRSD-2026-001 Pending Approval,Testing requires your approval,purchase_request,41,PR-WRSD-2026-001,true,Tue Mar 31 2026 11:32:34 GMT+0800 (Philippine Standard Time)
34,10,approval,fas fa-file-signature,PR-WRSD-2026-001 Pending Approval,Testing requires your approval,purchase_request,41,PR-WRSD-2026-001,false,Tue Mar 31 2026 11:36:00 GMT+0800 (Philippine Standard Time)
35,3,approval,fas fa-file-signature,PR-WRSD-2026-001 Pending Approval,Testing requires your approval,purchase_request,41,PR-WRSD-2026-001,true,Tue Mar 31 2026 11:36:00 GMT+0800 (Philippine Standard Time)
37,10,approval,fas fa-file-signature,PR-WRSD-2026-001 Pending Approval,Testing requires your approval,purchase_request,42,PR-WRSD-2026-001,false,Tue Mar 31 2026 15:05:44 GMT+0800 (Philippine Standard Time)
38,3,approval,fas fa-file-signature,PR-WRSD-2026-001 Pending Approval,Testing requires your approval,purchase_request,42,PR-WRSD-2026-001,true,Tue Mar 31 2026 15:05:44 GMT+0800 (Philippine Standard Time)
40,13,delivery,fas fa-receipt,PO-2026-9342 Created,New Purchase Order issued – Testing,purchase_order,21,PO-2026-9342,false,Tue Mar 31 2026 15:13:57 GMT+0800 (Philippine Standard Time)
41,3,delivery,fas fa-receipt,PO-2026-9342 Created,New Purchase Order issued – Testing,purchase_order,21,PO-2026-9342,true,Tue Mar 31 2026 15:13:57 GMT+0800 (Philippine Standard Time)
43,13,submission,fas fa-clipboard-check,IAR-2026-8684 Created,Inspection & Acceptance Report filed – pending inspection,iar,8,IAR-2026-8684,false,Tue Mar 31 2026 15:15:43 GMT+0800 (Philippine Standard Time)
44,3,submission,fas fa-clipboard-check,IAR-2026-8684 Created,Inspection & Acceptance Report filed – pending inspection,iar,8,IAR-2026-8684,true,Tue Mar 31 2026 15:15:43 GMT+0800 (Philippine Standard Time)
47,3,approval,fas fa-file-signature,PR-WRSD-2026-001 Pending Approval,Testing requires your approval,purchase_request,43,PR-WRSD-2026-001,true,Wed Apr 08 2026 09:33:48 GMT+0800 (Philippine Standard Time)
48,10,approval,fas fa-file-signature,PR-WRSD-2026-001 Pending Approval,Testing requires your approval,purchase_request,43,PR-WRSD-2026-001,false,Wed Apr 08 2026 09:33:48 GMT+0800 (Philippine Standard Time)
49,1,approval,fas fa-file-signature,PR-WRSD-2026-001 Pending Approval,Testing requires your approval,purchase_request,44,PR-WRSD-2026-001,false,Wed Apr 08 2026 16:23:22 GMT+0800 (Philippine Standard Time)
50,3,approval,fas fa-file-signature,PR-WRSD-2026-001 Pending Approval,Testing requires your approval,purchase_request,44,PR-WRSD-2026-001,false,Wed Apr 08 2026 16:23:22 GMT+0800 (Philippine Standard Time)
51,10,approval,fas fa-file-signature,PR-WRSD-2026-001 Pending Approval,Testing requires your approval,purchase_request,44,PR-WRSD-2026-001,false,Wed Apr 08 2026 16:23:22 GMT+0800 (Philippine Standard Time)
52,1,approval,fas fa-file-signature,PR-WRSD-2026-001 Pending Approval,Testing requires your approval,purchase_request,45,PR-WRSD-2026-001,false,Wed Apr 08 2026 16:33:15 GMT+0800 (Philippine Standard Time)
53,3,approval,fas fa-file-signature,PR-WRSD-2026-001 Pending Approval,Testing requires your approval,purchase_request,45,PR-WRSD-2026-001,false,Wed Apr 08 2026 16:33:15 GMT+0800 (Philippine Standard Time)
54,10,approval,fas fa-file-signature,PR-WRSD-2026-001 Pending Approval,Testing requires your approval,purchase_request,45,PR-WRSD-2026-001,false,Wed Apr 08 2026 16:33:15 GMT+0800 (Philippine Standard Time)
55,1,delivery,fas fa-receipt,PO-2026-1531 Created,New Purchase Order issued – Testing,purchase_order,22,PO-2026-1531,false,Wed Apr 08 2026 17:12:12 GMT+0800 (Philippine Standard Time)
56,3,delivery,fas fa-receipt,PO-2026-1531 Created,New Purchase Order issued – Testing,purchase_order,22,PO-2026-1531,false,Wed Apr 08 2026 17:12:12 GMT+0800 (Philippine Standard Time)
57,13,delivery,fas fa-receipt,PO-2026-1531 Created,New Purchase Order issued – Testing,purchase_order,22,PO-2026-1531,false,Wed Apr 08 2026 17:12:12 GMT+0800 (Philippine Standard Time)
58,1,delivery,fas fa-receipt,PO-2026-7762 Created,New Purchase Order issued – Testing,purchase_order,23,PO-2026-7762,false,Fri Apr 10 2026 16:00:25 GMT+0800 (Philippine Standard Time)
59,3,delivery,fas fa-receipt,PO-2026-7762 Created,New Purchase Order issued – Testing,purchase_order,23,PO-2026-7762,false,Fri Apr 10 2026 16:00:25 GMT+0800 (Philippine Standard Time)
60,13,delivery,fas fa-receipt,PO-2026-7762 Created,New Purchase Order issued – Testing,purchase_order,23,PO-2026-7762,false,Fri Apr 10 2026 16:00:25 GMT+0800 (Philippine Standard Time)