id,user_id,dept_id,access_type,created_at
1,5,1,ppmp_manage,Tue Mar 10 2026 10:40:24 GMT+0800 (Philippine Standard Time)
2,5,2,ppmp_manage,Tue Mar 10 2026 10:40:24 GMT+0800 (Philippine Standard Time)
3,5,3,ppmp_manage,Tue Mar 10 2026 10:40:24 GMT+0800 (Philippine Standard Time)
8,5,5,ppmp_manage,Tue Mar 10 2026 15:51:20 GMT+0800 (Philippine Standard Time)
9,6,1,ppmp_manage,Tue Mar 10 2026 15:51:20 GMT+0800 (Philippine Standard Time)
10,6,2,ppmp_manage,Tue Mar 10 2026 15:51:20 GMT+0800 (Philippine Standard Time)
11,6,3,ppmp_manage,Tue Mar 10 2026 15:51:20 GMT+0800 (Philippine Standard Time)
12,6,4,ppmp_manage,Tue Mar 10 2026 15:51:20 GMT+0800 (Philippine Standard Time)
13,6,5,ppmp_manage,Tue Mar 10 2026 15:51:20 GMT+0800 (Philippine Standard Time)
14,16,1,ppmp_manage,Tue Mar 10 2026 16:29:17 GMT+0800 (Philippine Standard Time)
15,16,2,ppmp_manage,Tue Mar 10 2026 16:29:17 GMT+0800 (Philippine Standard Time)
16,16,3,ppmp_manage,Tue Mar 10 2026 16:29:17 GMT+0800 (Philippine Standard Time)
17,16,4,ppmp_manage,Tue Mar 10 2026 16:29:17 GMT+0800 (Philippine Standard Time)
18,16,5,ppmp_manage,Tue Mar 10 2026 16:29:17 GMT+0800 (Philippine Standard Time)